family_id,member_id,full_ops,local_ops,reduction_ratio,vs_176,reconstruction_ok,note
guo-p2-s0-i3,G0012,33,27,0.8182,0.1534090909090909,True,mul_peel_applied_undef
guo-p2-s0-i3,G0013,333,327,0.982,1.8579545454545454,True,mul_peel_applied_undef
guo-p2-s0-i3,G0014,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s0-i3,G0015,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s0-i3,G0016,573,567,0.9895,3.221590909090909,True,mul_peel_applied_undef
guo-p2-s1-i2,G0012,33,27,0.8182,0.1534090909090909,True,mul_peel_applied_undef
guo-p2-s1-i2,G0013,333,327,0.982,1.8579545454545454,True,mul_peel_applied_undef
guo-p2-s1-i2,G0014,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s1-i2,G0015,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s1-i2,G0016,573,567,0.9895,3.221590909090909,True,mul_peel_applied_undef
guo-p2-s1-i3,G0019,33,27,0.8182,0.1534090909090909,True,mul_peel_applied_undef
guo-p2-s1-i3,G0020,333,327,0.982,1.8579545454545454,True,mul_peel_applied_undef
guo-p2-s1-i3,G0021,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s1-i3,G0022,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s1-i3,G0023,573,567,0.9895,3.221590909090909,True,mul_peel_applied_undef
guo-p2-s2-i2,G0012,33,27,0.8182,0.1534090909090909,True,mul_peel_applied_undef
guo-p2-s2-i2,G0013,333,327,0.982,1.8579545454545454,True,mul_peel_applied_undef
guo-p2-s2-i2,G0014,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s2-i2,G0015,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s2-i2,G0016,573,567,0.9895,3.221590909090909,True,mul_peel_applied_undef
guo-p2-s2-i3,G0019,33,27,0.8182,0.1534090909090909,True,mul_peel_applied_undef
guo-p2-s2-i3,G0020,333,327,0.982,1.8579545454545454,True,mul_peel_applied_undef
guo-p2-s2-i3,G0021,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s2-i3,G0022,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s2-i3,G0023,573,567,0.9895,3.221590909090909,True,mul_peel_applied_undef
guo-p2-s2-i4,G0004,87,83,0.954,0.4715909090909091,True,mul_peel_applied_undef
guo-p2-s2-i4,G0005,176,172,0.9773,0.9772727272727273,True,mul_peel_applied_undef
guo-p2-s2-i4,G0008,87,83,0.954,0.4715909090909091,True,mul_peel_applied_undef
guo-p2-s2-i4,G0009,176,172,0.9773,0.9772727272727273,True,mul_peel_applied_undef
guo-p2-s4-i1,G0012,33,27,0.8182,0.1534090909090909,True,mul_peel_applied_undef
guo-p2-s4-i1,G0013,333,327,0.982,1.8579545454545454,True,mul_peel_applied_undef
guo-p2-s4-i1,G0014,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s4-i1,G0015,379,373,0.9842,2.1193181818181817,True,mul_peel_applied_undef
guo-p2-s4-i1,G0016,573,567,0.9895,3.221590909090909,True,mul_peel_applied_undef
